name,status,signature,read_error
2019-08-29_19-55-30__kDm4tl417CqBPgyl7awKQFxbbBmJBGrxikkG7jSm.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-30_18-21-04__cQrxdDrIMBGPCZ6DYCqYnfVQaRAlAY0vyWlw7A45.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-02_22-25-11__vIbe8MtQLkHi19b2yZKAzxnrcX4jBmIgb5XpGMLs.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-03_20-23-49__GSd8aIblheXjbY5xsDfbQMIf3clWE6BP53YuglhX.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-09-05_08-04-35__T0dmLWuleFxAX9hcg8p2eEfkut0cMIOacQZsJY7T.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-05_18-54-29__CGaurStgALEMrwvUzWf5HyvLN7d6zSkvIRKyPEXF.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-09-06_18-39-07__0zZa4le3EqNMx3VYDnPG5pF7xVupEnNmMzSCqOYn.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-09-07_15-37-56__vdO3Ym2BEGprCbz33QzOeSvh1FbqOX1WfDHBBLdL.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-09_20-50-06__VPgSYnTFaaoGueku5ji9xR59myNQxK1m7KjSyMnM.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-09-10_20-14-51__fYbVxygo4yCqNH72FjDTl6OFk9Gz9r5PrURN0X1x.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-09-11_20-18-40__xHqmFGUcqt8cBwQfV3eiofcbhuE2zCFUxARyBoPu.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-09-12_21-28-43__FL8wVv6MTo8Hwzg2MQfdXSIrNh70RHMmziz7gc5l.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-09-13_21-46-16__1OJy9ozB0XMGsR7OejgQtET8oAfVIojoX5mTeyNw.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-09-17_06-15-32__wDDuS0MCHWBsydOFFJjZ3aAFrhDejlqCshBTCW7F.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-18_08-09-38__EYj4ZH6z1AgGYYXdaDD4cSpZoRHjzD4nXudqTZC1.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-18_18-50-22__Azz3GYNtsYo44qqvdaLngnYlxUjABJIworN1I5Lp.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-19_19-03-04__hZHRVXiAv40GtqFAFmBYtnlaEb7B27fY59s9BOiK.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-21_09-28-36__cdNzyf2dK5LKujPKKy98wIFfPEBq7ZkBWdpCreVE.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-23_20-53-32__FldRlE8EsO3iUDx0oIOI8aaqBuhW7tystsyBTxAC.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-25_07-56-15__D5REwNgzMI63QdvS78MEmzjGxGKoviJgPUi6vaQX.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-26_08-04-42__Y2TD0mvpF5cJg9VDj6yUw9H1wB9JYcbKS7hXlHlh.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-09-27_08-40-14__AF7V5N5A80MiZ00W4gCmllgy0GeWvSMnC8MBeziw.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-09-28_08-44-30__EUgc8ePKME7iB5rWZKiparcQfJKAGVzml2AcFnz0.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
